
id,name,reason
113,Voyager 1,Unknown class; Unknown order
114,Voyager 2,Unknown class; Unknown order
115,Cassini-Huygens,Unknown class; Unknown order
116,Hubble Space Telescope,Unknown class; Unknown order
141,Naïo Technologies Oz,Unknown class; Unknown order
142,Naïo Technologies Dino,Unknown class; Unknown order
143,Naïo Technologies Ted,Unknown class; Unknown order
155,Aigen Element,Unknown class; Unknown order
337,Agovor GOVOR,Unknown class; Unknown order
342,AIGRO UP,Unknown class; Unknown order
343,Amos Power A3/A4,Unknown class; Unknown order
346,AutoAgri ICS20,Unknown class; Unknown order
348,Digital workbench Tipard 350,Unknown class; Unknown order
349,Digital workbench Tipard 1800,Unknown class; Unknown order
352,EarthAutomations Dood,Unknown class; Unknown order
358,Korechi RoamIO-HCT,Unknown class; Unknown order
359,Korechi RoamIO-HCW,Unknown class; Unknown order
360,Korechi RoamIO-mini,Unknown class; Unknown order
362,Naïo Jo,Unknown class; Unknown order
363,Naïo Orio,Unknown class; Unknown order
364,Naïo Oz,Unknown class; Unknown order
366,PeK Automotive Slopehelper,Unknown class; Unknown order
369,Sitia Trektor,Unknown class; Unknown order
372,STEVmotion Vineatrac,Unknown class; Unknown order
374,Traktorarvid Drever 120,Unknown class; Unknown order
376,XMachines – X100 Ultra,Unknown class; Unknown order
377,Zauberzeug Field Friend,Unknown class; Unknown order
525,SIASUN SN4A-4/0.58,Unknown class; Unknown order
527,SIASUN SR210A-210/2.65,Unknown class; Unknown order
534,DJI Matrice 350 RTK,Unknown class; Unknown order
