id,name,year,region_code,region_name,url,domain_id,class_id,order_id,primary_role_id,domain,class,order,primary_role,sector,feature_indices,features
1,FANUC ARC Mate 50iD,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/arc-welding-robots/arc-mate-50id,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
2,FANUC ARC Mate 50iD/7L,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/arc-welding-robots/arc-mate-50id-7l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
3,FANUC CRX-5iA,2015.0,JP,Japan,https://www.fanucamerica.com/products/robots/collaborative-robots/crx-5ia,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
4,FANUC CRX-5iA Food Grade,2015.0,JP,Japan,https://www.fanucamerica.com/products/robots/collaborative-robots/crx-5ia-food-grade,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
5,FANUC DR-3iB/8L,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/delta-robots/dr-3ib-8l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
6,FANUC DR-3iB/6 STAINLESS,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/delta-robots/dr-3ib-6-stainless,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
7,FANUC LR Mate 200iD,1990.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/lr-mate-200id,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
8,FANUC LR Mate 200iD/4S,1990.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/lr-mate-200id-4s,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
9,FANUC M-1iA/0.5AL,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/m-1ia-0-5al,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
10,FANUC M-1iA/0.5S,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/m-1ia-0-5s,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
11,FANUC M-2iA/3AL,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/m-2ia-3al,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
12,FANUC M-2iA/3S,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/m-2ia-3s,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
13,FANUC M-3iA/6A,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/m-3ia-6a,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
14,FANUC M-3iA/6S,2009.0,JP,Japan,https://www.fanucamerica.com/products/robots/small-robots/m-3ia-6s,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
15,FANUC M-10iD/8L,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-10id-8l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
16,FANUC M-10iD/10L,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-10id-10l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
